model,run,method,threshold,sample_count,elapsed_seconds,images_per_second,speedup_vs_full,fid,delta_fid,sfid,delta_sfid,inception_score,delta_inception_score,precision,delta_precision,recall,delta_recall,aggregate_mse,psnr_from_aggregate_mse,mean_per_image_psnr,median_per_image_psnr,mean_ssim,median_ssim,mean_lpips,median_lpips,exact_pair_count,nan_psnr,nan_ssim,nan_lpips,inf_psnr,inf_ssim,inf_lpips
JiT,full,full,,1000,315.516042632,3.169410948673514,1.0,38.98446008836555,,201.4650437238597,,261.01702880859375,,0.812,,0.8053,,,,,,,,,,,,,,,,
JiT,jit_seacache_threshold_0p02,seacache,0.02,1000,149.868225288,6.67252847011641,2.1052897772404826,39.050360942021825,0.06590085365627374,201.84132540589508,0.37628168203536916,267.1178283691406,6.100799560546875,0.806,-0.006000000000000005,0.8082,0.0029000000000000137,0.0011032726335940535,29.57317154255413,32.9179120254481,33.007844708216226,0.9622823521494865,0.9799888432025909,0.05624050041349255,0.028698124922811985,0,0,0,0,0,0,0
JiT,jit_seacache_threshold_0p05,seacache,0.05,1000,137.373041917,7.279448617030656,2.296782820188498,39.12555067153892,0.14109058317336576,200.65000519033435,-0.8150385335253532,266.5898742675781,5.572845458984375,0.81,-0.0020000000000000018,0.8067,0.0013999999999999568,0.001035302330136699,29.84932808528818,33.57193475233361,33.835464161800914,0.957521665006876,0.9767676889896393,0.058421909705502914,0.032671086490154266,0,0,0,0,0,0,0
JiT,jit_seacache_threshold_0p1,seacache,0.1,1000,109.47440789,9.134555000332142,2.882098644909145,39.56650392939082,0.5820438410252677,198.76029832835195,-2.704745395507757,255.2750701904297,-5.7419586181640625,0.808,-0.0040000000000000036,0.803,-0.0022999999999999687,0.0013208429325338522,28.791488232556205,30.894778538430657,31.430121509584758,0.9303716628551483,0.9509437084197998,0.07451969072036445,0.05125407874584198,0,0,0,0,0,0,0
JiT,jit_seacache_threshold_0p2,seacache,0.2,1000,80.271628058,12.457701733387708,3.930604751208296,41.30285224263679,2.318392154271237,195.46098175165776,-6.004061972201953,233.87010192871094,-27.146926879882812,0.764,-0.04800000000000004,0.7926,-0.012700000000000045,0.0031704199457778027,24.988832084274662,25.62533315957093,25.6074639014917,0.8492327657043934,0.8703211545944214,0.12967949158884584,0.11226526275277138,0,0,0,0,0,0,0
JiT,jit_seacache_threshold_0p4,seacache,0.4,1000,63.452152538,15.759906638330726,4.972503374775897,44.426551029856284,5.442090941490733,190.97151560428642,-10.493528119573284,202.12107849121094,-58.89595031738281,0.699,-0.1130000000000001,0.7805,-0.024800000000000044,0.010065252839134068,19.971753111616604,20.2414418149927,20.03968992664418,0.6834206957370043,0.7012290060520172,0.23504076463729143,0.2186548188328743,0,0,0,0,0,0,0
PixelGen,full,full,,1000,1058.042872963,0.9451412844921363,1.0,38.45394374046498,,202.92721271995651,,279.8703308105469,,0.808,,0.825,,,,,,,,,,,,,,,,
PixelGen,pixelgen_seacache_threshold_0p02,seacache,0.02,1000,563.232852403,1.7754646159817533,1.8785176831374837,38.15162279033916,-0.30232095012581794,203.42065136659517,0.49343864663865133,281.69561767578125,1.825286865234375,0.809,0.0010000000000000009,0.8236,-0.0013999999999999568,0.0010918829843981884,29.618239018814464,34.91026836948759,35.2740910568471,0.9624249094128609,0.9845015108585358,0.05112568326952169,0.020495105534791946,0,0,0,0,0,0,0
PixelGen,pixelgen_seacache_threshold_0p05,seacache,0.05,1000,537.420841409,1.8607391506779278,1.9687417968180072,38.116149870454706,-0.33779387001027317,203.02742660491742,0.10021388496090822,281.0383605957031,1.16802978515625,0.813,0.004999999999999893,0.8244,-0.0005999999999999339,0.0010774421619866637,29.676060338393626,35.08657022290905,35.470153944559826,0.9627645386457443,0.9851751327514648,0.0510860483602155,0.020677230320870876,0,0,0,0,0,0,0
PixelGen,pixelgen_seacache_threshold_0p1,seacache,0.1,1000,379.074190488,2.638006029143406,2.791123477968605,38.17338628551454,-0.28055745495043993,200.8107174508798,-2.1164952690767223,277.46142578125,-2.408905029296875,0.81,0.0020000000000000018,0.8216,-0.0033999999999999586,0.0011524270217492518,29.383865670707237,32.99166904170248,34.042733747080405,0.9487752494215965,0.9683306217193604,0.05855099568562582,0.030811473727226257,0,0,0,0,0,0,0
PixelGen,pixelgen_seacache_threshold_0p2,seacache,0.2,1000,265.895632405,3.7608741104737136,3.979166048697775,38.5828433985688,0.1288996581038191,197.7003542209194,-5.226858499037121,267.6059875488281,-12.26434326171875,0.816,0.007999999999999896,0.8191,-0.005899999999999905,0.0018666167509015234,27.289448411587532,28.63303753714481,28.925718016464632,0.8959485700130463,0.9128234684467316,0.09298084303969517,0.07190283387899399,0,0,0,0,0,0,0
PixelGen,pixelgen_seacache_threshold_0p4,seacache,0.4,1000,175.482832706,5.6985631276842765,6.029324103376091,39.30128015265444,0.8473364121894633,193.06139175689998,-9.865820963056535,270.00067138671875,-9.869659423828125,0.826,0.017999999999999905,0.814,-0.01100000000000001,0.006212576478768501,22.067282519241726,22.905881841440745,22.97436063082152,0.7479564525485038,0.7575556933879852,0.24591791215911507,0.22041600197553635,0,0,0,0,0,0,0
