model,run,method,interval,max_order,sample_count,elapsed_seconds,images_per_second,speedup_vs_full,fid,delta_fid,sfid,delta_sfid,inception_score,delta_inception_score,precision,delta_precision,recall,delta_recall,aggregate_mse,psnr_from_aggregate_mse,mean_per_image_psnr,median_per_image_psnr,mean_ssim,median_ssim,mean_lpips,median_lpips,exact_pair_count,nan_psnr,nan_ssim,nan_lpips,inf_psnr,inf_ssim,inf_lpips
JiT,full,upstream_full,1,0,1000,303.244470207,3.2976693666248305,1.0,38.98446008836555,,201.4650437238597,,261.01702880859375,,0.812,,0.8053,,,,,,,,,,,,,,,,
JiT,i2_k1,taylorseer,2,1,1000,185.822251207,5.38148684296173,1.6319061266198711,39.63024696125308,0.6457868728875269,203.0135105785655,1.5484668547057936,251.4934844970703,-9.523544311523438,0.786,-0.026000000000000023,0.8113,0.006000000000000005,0.002277592261058099,26.42524021530874,27.574911796523253,27.586475360944288,0.9256293666362763,0.9418737590312958,0.10008337789983489,0.07484783232212067,0,0,0,0,0,0,0
JiT,i2_k2,taylorseer,2,2,1000,202.289080675,4.943420557665253,1.4990649480195923,39.470177529644786,0.48571744127923466,202.93479799140732,1.4697542675476143,250.5096893310547,-10.507339477539062,0.789,-0.02300000000000002,0.8117,0.006399999999999961,0.002144739417617574,26.68625466353591,27.91676156494654,27.9540209451093,0.9295689257979393,0.9452769160270691,0.09578274448844604,0.0709548071026802,0,0,0,0,0,0,0
JiT,i2_k3,taylorseer,2,3,1000,197.349917497,5.067141718035942,1.536582705749597,39.46950785528793,0.48504776692237783,202.96008613796994,1.4950424141102303,250.2102813720703,-10.806747436523438,0.78,-0.03200000000000003,0.8119,0.006599999999999939,0.002145980492414603,26.683742302149884,27.913473591865746,27.969648359303434,0.9294588051438332,0.9450589716434479,0.09583656560699455,0.07068920508027077,0,0,0,0,0,0,0
JiT,i3_k1,taylorseer,3,1,1000,140.972336212,7.093590323254337,2.1510920394407633,39.641323669185226,0.6568635808196746,200.84100621484026,-0.6240375090194448,262.01312255859375,0.99609375,0.79,-0.02200000000000002,0.8167,0.011399999999999966,0.002501348401246874,26.018258131871427,27.223639496108376,27.165375292870678,0.9185193111300468,0.9346556663513184,0.10847783599002286,0.08260396122932434,0,0,0,0,0,0,0
JiT,i3_k2,taylorseer,3,2,1000,145.998314257,6.849394152864709,2.0770409011243824,39.52349775074367,0.5390376623781208,200.9760193627077,-0.4890243611520191,262.5371398925781,1.520111083984375,0.796,-0.016000000000000014,0.8183,0.013000000000000012,0.001996705340394201,26.996860204987293,28.38017584068826,28.39456233905741,0.9326368416547776,0.9480902254581451,0.09359080618061125,0.06623028218746185,0,0,0,0,0,0,0
JiT,i3_k3,taylorseer,3,3,1000,156.059495405,6.407812593555015,1.943133735118333,39.54785471322822,0.5633946248626671,200.93889572081207,-0.5261480030476378,262.98895263671875,1.971923828125,0.791,-0.02100000000000002,0.8174,0.0121,0.002013205341421811,26.961119260063995,28.339011016495927,28.29496667943493,0.9321362980604172,0.9478118419647217,0.09391597581165843,0.06702949479222298,0,0,0,0,0,0,0
JiT,i4_k1,taylorseer,4,1,1000,111.004478978,9.008645499774746,2.7318219318618677,40.588238919892774,1.6037788315272223,201.8528046880665,0.38776096420679096,244.56710815429688,-16.449920654296875,0.768,-0.04400000000000004,0.807,0.0017000000000000348,0.00587403515204998,22.31063458852433,22.969530035029372,22.80595713651385,0.8421365995705128,0.854024201631546,0.18443361036479472,0.1645510420203209,0,0,0,0,0,0,0
JiT,i4_k2,taylorseer,4,2,1000,125.07394881,7.9952700743389915,2.4245214378548092,40.29753447861572,1.313074390250165,202.3350329775218,0.8699892536620837,244.86865234375,-16.14837646484375,0.796,-0.016000000000000014,0.8043,-0.0010000000000000009,0.005130399470976258,22.898488178733103,23.627194930330152,23.491437673219234,0.8588187710940838,0.8728064000606537,0.17082585424184799,0.14789389073848724,0,0,0,0,0,0,0
JiT,i4_k3,taylorseer,4,3,1000,146.00036018,6.849298171368388,2.077011795266381,40.29347516043828,1.3090150720727252,202.29624488295156,0.8312011590918473,243.9486541748047,-17.068374633789062,0.8,-0.01200000000000001,0.8084,0.0030999999999999917,0.005237143202819871,22.809055507225025,23.53284515816148,23.400265031567663,0.8566747117340565,0.8704989552497864,0.17238879877794533,0.14947930723428726,0,0,0,0,0,0,0
PixelGen,full,upstream_full,1,0,1000,1092.035736273,0.9157209483023805,1.0,38.48056325531809,,202.89292721843208,,280.1994934082031,,0.807,,0.8248,,,,,,,,,,,,,,,,
PixelGen,i2_k1,taylorseer,2,1,1000,605.538717853,1.6514220652076603,1.8034119108765259,38.93896203005983,0.4583987747417382,202.76888709226557,-0.12404012616650562,267.0164794921875,-13.183013916015625,0.799,-0.008000000000000007,0.8175,-0.007299999999999973,0.0028675921741549847,25.424826135021906,27.669036239067566,27.798052285290204,0.906584114342928,0.9346768856048584,0.12099939755257219,0.08418131992220879,0,0,0,0,0,0,0
PixelGen,i2_k2,taylorseer,2,2,1000,634.632166675,1.5757159068051267,1.7207380804450148,38.91517154102394,0.4346082857058491,202.87093381759394,-0.021993400838141497,270.732421875,-9.467071533203125,0.801,-0.006000000000000005,0.8172,-0.00759999999999994,0.002806937343005878,25.51767281662144,27.828780981636218,27.98019974631282,0.9081140383780003,0.9366000890731812,0.11935656790528447,0.08342210203409195,0,0,0,0,0,0,0
PixelGen,i2_k3,taylorseer,2,3,1000,660.696886162,1.513553372120486,1.6528543711120771,38.91751072523351,0.4369474699154239,202.98426545387792,0.0913382354458463,270.22296142578125,-9.976531982421875,0.801,-0.006000000000000005,0.8181,-0.006699999999999928,0.002815004773044989,25.505208644341828,27.817852104479886,28.00951396512106,0.9074973717033863,0.9360175728797913,0.11982741817738861,0.08281530439853668,0,0,0,0,0,0,0
PixelGen,i3_k1,taylorseer,3,1,1000,465.280459606,2.1492413432681032,2.347048352724155,38.532434634147876,0.05187137882978732,202.47434478939726,-0.4185824290348137,272.470947265625,-7.728546142578125,0.809,0.0020000000000000018,0.8175,-0.007299999999999973,0.0024294139511834107,26.144984788557743,29.154215905525874,29.073418475160757,0.9218325813412667,0.9486071169376373,0.104664955599932,0.0677659660577774,0,0,0,0,0,0,0
PixelGen,i3_k2,taylorseer,3,2,1000,497.278860287,2.010944119810078,2.196022842480659,38.56264659727691,0.08208334195882117,202.45502572413136,-0.4379014943007178,277.96435546875,-2.235137939453125,0.797,-0.010000000000000009,0.8189,-0.005900000000000016,0.0018634285043211951,27.296872655205206,30.61401552428251,30.47507264055009,0.9352474977970123,0.962233155965805,0.08773786845954601,0.05101960711181164,0,0,0,0,0,0,0
PixelGen,i3_k3,taylorseer,3,3,1000,527.578317905,1.895453179294734,2.0699026082221237,38.55595083806469,0.0753875827466004,202.50718910449586,-0.38573811393621327,278.295654296875,-1.903839111328125,0.8,-0.007000000000000006,0.8165,-0.008299999999999974,0.0019015261311916972,27.208977020407858,30.51570090652998,30.369331450356604,0.9342331585288047,0.9620773792266846,0.08913230067491532,0.05110648646950722,0,0,0,0,0,0,0
PixelGen,i4_k1,taylorseer,4,1,1000,383.764280869,2.60576622122202,2.845589833947502,39.13414183005585,0.6535785747377645,202.023296456082,-0.8696307623500843,261.80084228515625,-18.398651123046875,0.786,-0.02100000000000002,0.8269,0.0020999999999999908,0.005571051882973556,22.540627969553487,24.33463205411879,24.21626198104918,0.8505871513485909,0.8778477013111115,0.18568418259965255,0.1541329324245453,0,0,0,0,0,0,0
PixelGen,i4_k2,taylorseer,4,2,1000,410.254456095,2.43751161052212,2.6618497862705097,39.242188459463364,0.7616252041452753,202.27102453336522,-0.621902685066857,262.3144226074219,-17.88507080078125,0.777,-0.030000000000000027,0.8234,-0.0013999999999999568,0.00472444004227621,23.256496582575004,25.03452836672518,25.046249409807775,0.863691780269146,0.8921532332897186,0.17192472455184907,0.13684433698654175,0,0,0,0,0,0,0
PixelGen,i4_k3,taylorseer,4,3,1000,432.24100053,2.3135241653934546,2.5264510653408196,39.074038204658905,0.5934749493408162,202.22651611640333,-0.6664111020287464,263.7378234863281,-16.461669921875,0.784,-0.02300000000000002,0.8242,-0.0005999999999999339,0.004844626980201213,23.14739656523811,24.99113785923195,25.0249495078641,0.8628822084963321,0.8922351896762848,0.17282218538015148,0.13654758781194687,0,0,0,0,0,0,0
