model,run,method,interval,max_order,generated_samples,full_nfe,taylor_nfe,total_nfe,taylor_fraction,network_forwards,trajectory_count,max_forecast_horizon,max_cache_bytes,max_cache_tensor_count,max_peak_memory_allocated,max_peak_memory_reserved,forecast_time_ms,history_update_time_ms,scheduler_time_ms
JiT,full,upstream_full,1,0,1000,3168,0,3168,0.0,6336,32,0.0,0,0,1397724672,1658847232,0.0,0.0,0.0
JiT,i2_k1,taylorseer,2,1,1000,1600,1568,3168,0.494949494949495,6336,32,1.0,1308622848,96,2712901120,3240099840,4340.532110305503,4973.503897897899,57.458355848211795
JiT,i2_k2,taylorseer,2,2,1000,1600,1568,3168,0.494949494949495,6336,32,1.0,1962934272,144,3368392192,3879731200,5480.868955724873,6242.569000402,58.29998920671642
JiT,i2_k3,taylorseer,2,3,1000,1600,1568,3168,0.494949494949495,6336,32,1.0,2617245696,192,4023227904,4647288832,6710.512526566163,7235.216224915348,57.705031242221594
JiT,i3_k1,taylorseer,3,1,1000,1088,2080,3168,0.6565656565656566,6336,32,2.0,1308622848,96,2712638976,3112173568,5508.035956416279,2797.4368905997835,54.07683667726815
JiT,i3_k2,taylorseer,3,2,1000,1088,2080,3168,0.6565656565656566,6336,32,2.0,1962934272,144,3368785408,3879731200,7138.666225248016,3787.6372933969833,54.769558599218726
JiT,i3_k3,taylorseer,3,3,1000,1088,2080,3168,0.6565656565656566,6336,32,2.0,2617245696,192,4023096832,4519362560,8647.15735707432,4814.7631423780695,58.99371491977945
JiT,i4_k1,taylorseer,4,1,1000,832,2336,3168,0.7373737373737373,6336,32,3.0,1308622848,96,2711721472,3112173568,6274.2968942038715,2428.696722141467,54.49197581037879
JiT,i4_k2,taylorseer,4,2,1000,832,2336,3168,0.7373737373737373,6336,32,3.0,1962934272,144,3369702912,3879731200,8030.911268200725,2901.175649894867,55.674018105491996
JiT,i4_k3,taylorseer,4,3,1000,832,2336,3168,0.7373737373737373,6336,32,3.0,2617245696,192,4023490048,4519362560,9677.916733606253,3532.5905649224296,56.095807056408376
PixelGen,full,upstream_full,1,0,1000,24948,0,24948,0.0,24948,252,0.0,0,0,5965261312,6257901568,0.0,0.0,0.0
PixelGen,i2_k1,taylorseer,2,1,1000,12600,12348,24948,0.494949494949495,24948,252,1.0,575668224,112,6581889536,6931087360,34259.0578852687,40093.87252200395,239.4021592917852
PixelGen,i2_k2,taylorseer,2,2,1000,12600,12348,24948,0.494949494949495,24948,252,1.0,863502336,168,6876146176,7254048768,44762.95119285351,117391.65975118522,243.2043922599405
PixelGen,i2_k3,taylorseer,2,3,1000,12600,12348,24948,0.494949494949495,24948,252,1.0,1151336448,224,7184886272,7583301632,54332.79183722334,80331.56060939655,240.94997404608876
PixelGen,i3_k1,taylorseer,3,1,1000,8568,16380,24948,0.6565656565656566,24948,252,2.0,575668224,112,6575467008,6939475968,45552.21471819095,27432.071504590567,236.1943586729467
PixelGen,i3_k2,taylorseer,3,2,1000,8568,16380,24948,0.6565656565656566,24948,252,2.0,863502336,168,6877587968,7275020288,59240.38942478364,77707.58974074852,230.8923340169713
PixelGen,i3_k3,taylorseer,3,3,1000,8568,16380,24948,0.6565656565656566,24948,252,2.0,1151336448,224,7185934848,7587495936,72258.59636918176,51139.01973987231,239.04906382085755
PixelGen,i4_k1,taylorseer,4,1,1000,6552,18396,24948,0.7373737373737373,24948,252,3.0,575668224,112,6582348288,6918504448,51689.431721752044,20294.059676176403,242.11648461641744
PixelGen,i4_k2,taylorseer,4,2,1000,6552,18396,24948,0.7373737373737373,24948,252,3.0,863502336,168,6874049024,7262437376,66509.4980886206,58209.35638563242,233.95386605989188
PixelGen,i4_k3,taylorseer,4,3,1000,6552,18396,24948,0.7373737373737373,24948,252,3.0,1151336448,224,7168174592,7585398784,79603.98286796408,40616.0280785989,233.0831154831685
